date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:50:10	8578/8578	---M-Z	200	added ('OK')	application/x-javascript	etag:%222182-56be6d7e03b00-gzip%22	http://themelamp.com/html/learnedu/js/main.js	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/js/main.js	(from http://themelamp.com/html/learnedu/)
05:50:23	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-55c3de720cc00-gzip%22	http://themelamp.com/html/learnedu/fonts/fontawesome-webfont.eot?v=4.7.0	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/fonts/fontawesome-webfont3e6e.eot	(from http://themelamp.com/html/learnedu/css/font-awesome.min.css)
05:50:26	77160/77160	---MCZ	200	added ('OK')	application/font-woff2	etag:%2212d68-55c3de73f5080-gzip%22	http://themelamp.com/html/learnedu/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/fonts/fontawesome-webfont3e6e.woff2	(from http://themelamp.com/html/learnedu/css/font-awesome.min.css)
05:50:28	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-55c3de720cc00-gzip%22	http://themelamp.com/html/learnedu/fonts/fontawesome-webfont.eot?	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/fonts/fontawesome-webfontd41d.eot	(from http://themelamp.com/html/learnedu/css/font-awesome.min.css)
05:50:31	20909/20909	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Dec%202019%2004:50:53%20GMT	http://themelamp.com/html/learnedu/css/owl.video.play.png	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/css/owl.video.play.55.delayed	(from http://themelamp.com/html/learnedu/css/owl.carousel.min.css)
05:50:32	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:%2217ee8-55c3de73f5080-gzip%22	http://themelamp.com/html/learnedu/fonts/fontawesome-webfont.woff?v=4.7.0	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/fonts/fontawesome-webfont3e6e.woff	(from http://themelamp.com/html/learnedu/css/font-awesome.min.css)
05:50:34	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%226c7db-55c3de73f5080-gzip%22	http://themelamp.com/html/learnedu/fonts/fontawesome-webfont.svg?v=4.7.0	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/fonts/fontawesome-webfont3e6e.svg	(from http://themelamp.com/html/learnedu/css/font-awesome.min.css)
05:50:46	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%22286ac-55c3de73f5080-gzip%22	http://themelamp.com/html/learnedu/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/fonts/fontawesome-webfont3e6e.ttf	(from http://themelamp.com/html/learnedu/css/font-awesome.min.css)
05:50:57	152029/152029	---M--	200	added ('OK')	image/png	etag:%22251dd-56930379dfa00%22	http://themelamp.com/html/learnedu/images/section-bg.png	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/section-bg.png	(from http://themelamp.com/html/learnedu/css/normalize.css)
05:51:01	179574/179574	---M--	200	added ('OK')	image/jpeg	etag:%222bd76-56a4a41b41b80%22	http://themelamp.com/html/learnedu/images/enroll-bg.jpg	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/enroll-bg.jpg	(from http://themelamp.com/html/learnedu/css/normalize.css)
05:51:08	213506/213506	---M--	200	added ('OK')	image/jpeg	etag:%2234202-56a4a474e6f00%22	http://themelamp.com/html/learnedu/images/cta-bg.jpg	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/cta-bg.jpg	(from http://themelamp.com/html/learnedu/style.css)
05:51:18	129299/129299	---M--	200	added ('OK')	image/jpeg	etag:%221f913-56a5f8ed03380%22	http://themelamp.com/html/learnedu/images/error-bg.jpg	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/error-bg.jpg	(from http://themelamp.com/html/learnedu/style.css)
05:51:20	20896/20896	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Dec%202019%2004:51:43%20GMT	http://themelamp.com/html/learnedu/team.html	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/team.5d.delayed	(from http://themelamp.com/html/learnedu/teacher.html)
05:51:23	134783/134783	---M--	200	added ('OK')	image/jpeg	etag:%2220e7f-56b2b5d432300%22	http://themelamp.com/html/learnedu/images/footer.jpg	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/footer.jpg	(from http://themelamp.com/html/learnedu/style.css)
05:51:27	251576/251576	---M--	200	added ('OK')	image/jpeg	etag:%223d6b8-56b1093a0f000%22	http://themelamp.com/html/learnedu/images/library.jpg	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/library.jpg	(from http://themelamp.com/html/learnedu/style.css)
05:51:28	118271/118271	---M--	200	added ('OK')	image/jpeg	etag:%221cdff-56a5f17020900%22	http://themelamp.com/html/learnedu/images/about.jpg	C:/wamp64/www/regForm/school_website/themelamp.com/html/learnedu/images/about.jpg	(from http://themelamp.com/html/learnedu/about.html)
